ID,Name,Description,Contributor,Citation,Language_IDs,Media_IDs,Related
323315,Africa Before the Agricultural Age (Ehret),"Outlined on this map are the locations that Ehret hypothesizes gave rise to the Afrasan, Middle Nile, Khoisan and Niger-Congo traditions.  In his book, he describes how each area affected the development of these ancient cultures as well as some of their differences, citing examples such as the Afrasan reliance on wild grass collection for food, and Middle Nile tendency to hunt large game and fish.",,,,323318_geojson 323338_geojson 323359_geojson 323380_geojson cf7cad60f0f2966b637c7f342e077578,
322302,African Agriculture ca. 3500 BCE (Ehret),"This illustrates Ehret's hypothesis regarding the state of agricultural development in Africa circa 3500 B.C.E.  The main changes that Ehret points out occur within two particular groups, although all were expanding.  As the Cushitic peoples spread west, they began absorbing many former Omotic groups into their societies.  Further across the continent, the West African planting agricultural tradition continued spreading to the belt of western rainforest near the Atlantic coast.",,,,322327_geojson 322352_geojson 322373_geojson 322424_geojson 322446_geojson 322468_geojson 322489_geojson 322509_geojson 322566_geojson 322587_geojson 322606_geojson 61866ad21063ed8318ade63d7a87e0d9,
323798,African Agriculture ca. 5500 BCE (Ehret),"This map displays the state and distribution of agricultural practices in Africa circa 5500 BCE.  The Omotic culture was slowly being absorbed by expanding Cushitic agripastoralists, while Middle Eastern pastoralists were spreading through the Arabian peninsula to parts of Asia and Europe.  The map African Agriculture ca. 3500 BCE further illustrates Ehret's historical hypothesis regarding the distribution of techniques and peoples in the northern half of the continent (Ehret).",,,,323801_geojson 323822_geojson 323843_geojson 323862_geojson 323883_geojson 323905_geojson 323926_geojson 323945_geojson 323966_geojson 5d08263c62edf16c40fa5c7803fa8ef5,
323438,African Civilizations ca. 9000-6700 BCE (Ehret),"This map displays the locations of African civilizations between 9000 and 6700 B.C.E.  Despite the widespread nature of the group, Ehret has refrained from outlining the BaTwa (often known as ""pygmies"" in European languages) homeland, although it seems that their general location has remained relatively steady through to the modern age.",,,,09bac7ec394e510ea3ea3714211d58ad 323442_geojson 323462_geojson 323493_geojson 323514_geojson 323535_geojson 323554_geojson 323576_geojson 323597_geojson 323616_geojson 323637_geojson 332547_geojson,
322794,African Ethnic Groups (Public Content),This map displays the ethnic groups of Africa as researched by the U.S. Central Intelligence Agency in 1996.  Areas with large populations of two or more major ethnic groups have been represented with one feature being superimposed over the other as represented by the Shared Areas layer.  Please note that the classification presented does not reflect current scholarly consensus.,,,,06cae8cbf86abe3b06f58c38f3a5ce61 322877_geojson 322930_geojson 322951_geojson,
110059,A Historical Linguistic Hypothesis for Austronesian Expansion,"This map broadly outlines a series of migration paths as described by Bellwood (2006).  He states that the hypothesis best supported by current linguistic and archaeological research is that the proto-Austronesians migrated out of mainland China around 4000 BC and across the Taiwan Strait into Taiwan.  From there, they migrated south through the Philippines, resulting in the formation of the Malayo-Polynesian subgroup.  Over time, they continued to migrate further east and west, and advancements in maritime technology allowed the Austronesians to spread out across the Pacific and Indian oceans, reaching such far-flung locations as Rapa Nui (Easter Island) in the Pacific and Madagascar in the Indian (Bellwood 2006).  This hypothesis is challenged by emerging genetics research, such as Li et al. (2008).",Erin A.S. Crabb,,cemp,110040_geojson,
210385,Algic (Time of Contact),"This map shows the locations of indigenous Algic languages at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,210090_geojson,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.
339251,"Amerind, Na-Dene and Eskimo-Aleut",This map illustrates Joseph Greenberg's 1987 classification of native languages in the Americas. Greenberg (REF) hypothesizes that there are only three language families in the Americas.,,,,339254_geojson e06027640eb74f5343d29270f3cc1b2f,
11634,Anatolian: Languages of the Ancient World (Cambridge Encyclopedia),"This map is an extract of information in The Cambridge Encyclopedia of the World's Ancient languages, showing languages spoken towards the end of the 1st Millennium BC in Anatolia and the surrounding area.",The Cambridge Encyclopedia of the World's Ancient languages. Atlas of the Celtic World,,,1b5089f0caa4d3cd04304568d282f1d8 216870_geojson 216893_geojson 216916_geojson 216923_geojson,
11623,Ancient Greek Dialects (Cambridge Encyclopedia),"This map collects all information available on the geographic location of the dialects of Classical Greek.  It includes only areas where colonization was extensive, and does not show many smaller settlements.  Since no one map included all the regions shown here, the map is an amalgamation of material from a number of different source, of which the <i>The Cambridge Encyclopedia of the World's Ancient languages</i> is primary.",,,,215966_geojson,
