ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
cemp,Central-Eastern Malayo-Polynesian,,,,,
marn,Marngu,,,,,
mec,Maarra,,,,mara1385,
mem,Mangarla,,,,mang1383,
mep,Miriwoong,,,,miri1266,
mfr,Marithiel,,,,mari1424,
mhg,Maraura,,,,marg1251,
min,Padang,,,,mina1268,
mirn,Mirning,,,,,
miyl,Miyal Subgroup,,,,,
miyn,Miyan,,,,,
mnt,Micoolan,,,,mayk1239,
mpam,Middle Pama,,,,,
mpb,Djiramo,,,,mull1237,
mpc,Mungerry,,,,mang1381,
mph,Gunmarung,,,,maun1240,
mpj,Jigalong,,,,mart1256,
mrli,Mirili Subgroup,,,,,
mvl,Mbara,,,,mbar1254,
mwd,Mudbura,,,,,
mwf,Murinkura,,,,murr1258,
mwp,Kala Lagaw,,,,kala1377,
mwp-kal,Saibai,,,,,
mwp-kaw,Kaurareg,,,,,
mwp-kul,Jam,,,,,
mwrc,Main Subgroup Wiradjuric,,,,,
nad,Balgu,,,,nija1242,
nam-nge,Ngan'gimerri,,,,,
nay,Jaralde,,,,narr1259,
nay-por,Portaulun,,,,,
nay-ram,Ramindjerar,,,,,
nay-tan,Tanganekald,,,,,
nay-war,Warki,,,,,
nbj,Ngarinyman,,,,ngar1235,
nbj-bil,Pilinara,,,,,
nbx,Galali,,,,ngur1261,
nbx-bid,Bidjara,,,,,
nbx-dhi,Dhiraila,,,,,
nbx-gar,Garandala,,,,,
nbx-kal,Galali,,,,,
nbx-nga,Eromarra,,,,,
nbx-ngu,Ngurawarla,,,,,
nbx-won,Wongkumara,,,,,
nbx-yar,Yarumarra,,,,,
nck,Nagara,,,,naka1260,
ngar,Ngargo,,,,,
lrg,Laragiya,,,,lara1258,
ngk,Boun,,,,ngal1292,
nglt,Ngult Subgroup,,,,,
ngra,Ngura Subgroup,,,,,
ngum,Ngumbin,,,,,
nhf,Noanamaronga,,,,nhuw1239,
nid,Ngandi,,,,ngan1295,
nju,Ngadjunmaya,,,,ngad1258,
nlr,Ngerla,,,,ngar1286,
nly,Nyamal,,,,nyam1271,
nly-wid,Widugari,,,,,
nmp,Nimanburru,,,,nima1245,
nmv,Karangura,,,,ngam1265,
nna,Pijikala,,,,nyan1301,
nna-bid,Peedong,,,,,
nnv,Doora,,,,nugu1241,
nny,Yangkaal,,,,nyan1300,
npam,Northern Pama,,,,,
npma,Norman Pama,,,,,
nrl,Ngarluma,,,,ngar1287,
nrx,Gnumbu,,,,ngur1260,
ntj,Ngaanyatjarra,,,,ngaa1240,
nug,Nungali,,,,nung1291,
nuy,Wubuy ,,,,nung1290,
nyh,Wanji,,,,nyig1240,
nys-bal,Toode-nunjer,,,,,
nys-jua,Juat,,,,,
nys-kal,Kalamai,,,,,
nys-kan,Kaniyan,,,,,
nys-kor,Koreng,,,,,
nys-min,Minang,,,,,
nys-nya,Nyakinyaki,,,,,
nys-pib,Pibelman,,,,,
nys-pin,Pinjarra,,,,,
nys-war,Wardandi,,,,,
nys-wii,Weal,,,,,
nys-wud,Wudjari,,,,,
nyt,Nyawaygi,,,,nyaw1247,
nyun,Nyungar,,,,,
nyv,Nyulnyul,,,,nyul1247,
nyx,Nganyaywana,,,,ngan1296,
pii,Pini,,,,pini1248,
piu,Pintupi-Luritja,,,,pint1250,
pjt,Mulatara,,,,pitj1243,
pjt-pit,Pitjantjatjara,,,,,
pjt-yan,Jangkundjara,,,,,
pnv,Binnigoora,,,,pini1244,
pnw,Panjtjima,,,,pany1241,
pti,Pintiini,,,,pint1251,
qe3,Yegir,,,,,
qk6,Eau,,,,,
qk6-ama,Amangu,,,,,
qman,Mantharda Subgroup,,,,,
qmar,Mari Subgroup,,,,,
qnga,Ngayarda Subgroup,,,,,
qt2,Wambawamba,,,,,
qt2-bar,Karraba,,,,,
qyar,Yalyi,,,,,
rit,Ritharngu,,,,rita1239,
rmb,Rembarrnga,,,,remb1249,
sks,Maia,,,,maia1254,
spma,Southern Pama Subgroup,,,,,
tbh,Thurawal,,,,thur1254,
tbh-wad,Wadiwadi,,,,,
than,Than,,,,,
thd,Thayore,,,,thay1249,
tiw,Tiwi,,,,tiwi1244,
tju,Tjururu,,,,tjur1240,
ump,Koko-umpilo,,,,umpi1239,
ung,Ngarinyin,,,,ngar1284,
ung-guw,Guwij,,,,,
ung-wil,Walmbi,,,,,
ung-wol,Woljamidi,,,,,
unp,Wurora,,,,west2435,
unp-ung,Oonggoomi,,,,,
urf,Uraδi,,,,urad1239,
urf-jat,Jathaikana,,,,,
vka,Kariyarra,,,,kari1304,
vku,Jawunmara,,,,kurr1243,
