ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,filesize,Layer_Order
cf7cad60f0f2966b637c7f342e077578,Ehret004.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Ehret004/Ehret004.jpg,,384931,
323318_geojson,323318.geojson,"Afrasans ca. 13,000 BCE",application/geo+json,file:/geojson.zip,323318.geojson,,0
323338_geojson,323338.geojson,"Khoisan ca. 16,000 BCE",application/geo+json,file:/geojson.zip,323338.geojson,,1
323359_geojson,323359.geojson,"Middle Nile Tradition ca. 11,000 BCE",application/geo+json,file:/geojson.zip,323359.geojson,,2
323380_geojson,323380.geojson,"Niger-Congo ca. 10,000 BCE",application/geo+json,file:/geojson.zip,323380.geojson,,3
61866ad21063ed8318ade63d7a87e0d9,Ehret008.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Ehret008/Ehret008.jpg,,926161,
322327_geojson,322327.geojson,ehret008arrows,application/geo+json,file:/geojson.zip,322327.geojson,,0
322352_geojson,322352.geojson,Ehret008megachad,application/geo+json,file:/geojson.zip,322352.geojson,,1
322373_geojson,322373.geojson,Ehret008movementarrows,application/geo+json,file:/geojson.zip,322373.geojson,,2
322424_geojson,322424.geojson,ehret008movementlines,application/geo+json,file:/geojson.zip,322424.geojson,,3
322446_geojson,322446.geojson,Ehret008Peopleslines,application/geo+json,file:/geojson.zip,322446.geojson,,4
322468_geojson,322468.geojson,Ehret008shape1,application/geo+json,file:/geojson.zip,322468.geojson,,5
322489_geojson,322489.geojson,Ehret008shape2,application/geo+json,file:/geojson.zip,322489.geojson,,6
322509_geojson,322509.geojson,Ehret008shape3,application/geo+json,file:/geojson.zip,322509.geojson,,7
322566_geojson,322566.geojson,Ehret008shape4,application/geo+json,file:/geojson.zip,322566.geojson,,8
322587_geojson,322587.geojson,Ehret008shape5,application/geo+json,file:/geojson.zip,322587.geojson,,9
322606_geojson,322606.geojson,Ehret008shape6,application/geo+json,file:/geojson.zip,322606.geojson,,10
5d08263c62edf16c40fa5c7803fa8ef5,Ehret007.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Ehret007/Ehret007.png,,1630295,
323905_geojson,323905.geojson,Middle Eastern Agriculture,application/geo+json,file:/geojson.zip,323905.geojson,,5
323801_geojson,323801.geojson,Aquatic,application/geo+json,file:/geojson.zip,323801.geojson,,0
323822_geojson,323822.geojson,Migration Paths,application/geo+json,file:/geojson.zip,323822.geojson,,1
323843_geojson,323843.geojson,Cushitic Agripastoralism,application/geo+json,file:/geojson.zip,323843.geojson,,2
323862_geojson,323862.geojson,Labels,application/geo+json,file:/geojson.zip,323862.geojson,,3
323883_geojson,323883.geojson,Lake Megachad,application/geo+json,file:/geojson.zip,323883.geojson,,4
323926_geojson,323926.geojson,Omotic Agriculture,application/geo+json,file:/geojson.zip,323926.geojson,,6
323945_geojson,323945.geojson,West African Planting Agriculture,application/geo+json,file:/geojson.zip,323945.geojson,,7
323966_geojson,323966.geojson,Sudanic Agriculture,application/geo+json,file:/geojson.zip,323966.geojson,,8
09bac7ec394e510ea3ea3714211d58ad,Ehret006.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Ehret006/Ehret006.jpg,,520383,
323442_geojson,323442.geojson,Afrasans,application/geo+json,file:/geojson.zip,323442.geojson,,0
323462_geojson,323462.geojson,Afrasans labels,application/geo+json,file:/geojson.zip,323462.geojson,,1
323493_geojson,323493.geojson,BaTwa labels,application/geo+json,file:/geojson.zip,323493.geojson,,2
323514_geojson,323514.geojson,Congo Labels,application/geo+json,file:/geojson.zip,323514.geojson,,3
323535_geojson,323535.geojson,Khoisan,application/geo+json,file:/geojson.zip,323535.geojson,,4
323554_geojson,323554.geojson,Lake Megachad,application/geo+json,file:/geojson.zip,323554.geojson,,5
323576_geojson,323576.geojson,Miscellaneous Labels,application/geo+json,file:/geojson.zip,323576.geojson,,6
323597_geojson,323597.geojson,Niger-Congo,application/geo+json,file:/geojson.zip,323597.geojson,,7
323616_geojson,323616.geojson,Sudanic,application/geo+json,file:/geojson.zip,323616.geojson,,8
323637_geojson,323637.geojson,Sudanic Labels,application/geo+json,file:/geojson.zip,323637.geojson,,9
332547_geojson,332547.geojson,untitled,application/geo+json,file:/geojson.zip,332547.geojson,,10
06cae8cbf86abe3b06f58c38f3a5ce61,Africa_ethnic_groups_1996.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/Africa_Ethnic_Groups/Africa_ethnic_groups_1996.jpg,,2742607,
322877_geojson,322877.geojson,Ethnic Groups,application/geo+json,file:/geojson.zip,322877.geojson,,0
322951_geojson,322951.geojson,Ethnic Groups Layover,application/geo+json,file:/geojson.zip,322951.geojson,,1
322930_geojson,322930.geojson,Labels,application/geo+json,file:/geojson.zip,322930.geojson,,2
110040_geojson,110040.geojson,Bellwood Austronesian,application/geo+json,file:/geojson.zip,110040.geojson,,0
210090_geojson,210090.geojson,Algic Labels,application/geo+json,file:/geojson.zip,210090.geojson,,0
e06027640eb74f5343d29270f3cc1b2f,Greenberg1.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Greenberg/Greenberg1.png,,45593,
339254_geojson,339254.geojson,"Amerind, Na-Dene and Eskimo-Aleut",application/geo+json,file:/geojson.zip,339254.geojson,,0
1b5089f0caa4d3cd04304568d282f1d8,anatolia.png,,image/png,/home/robert/projects/ll/LL-map/raw/maps/Anatolia/anatolia.png,,2693790,
216870_geojson,216870.geojson,Ancient Anatolian languages,application/geo+json,file:/geojson.zip,216870.geojson,,0
216893_geojson,216893.geojson,Mixed language area,application/geo+json,file:/geojson.zip,216893.geojson,,1
216916_geojson,216916.geojson,Ancient Cities,application/geo+json,file:/geojson.zip,216916.geojson,,2
216923_geojson,216923.geojson,Galatian Tribes,application/geo+json,file:/geojson.zip,216923.geojson,,3
215966_geojson,215966.geojson,Greek: Ancient Dialects,application/geo+json,file:/geojson.zip,215966.geojson,,0
216310_geojson,216310.geojson,Ancient Languages of the Tarim Basin,application/geo+json,file:/geojson.zip,216310.geojson,,0
216265_geojson,216265.geojson,Major Cities of the Tarim Basin,application/geo+json,file:/geojson.zip,216265.geojson,,1
8f83a57a0896f6fa0254e981e170078d,East_Asian_language_family_homelands.jpg,,image/jpeg,/home/robert/projects/ll/LL-map/raw/maps/East_Asian_language_family_homelands/East_Asian_language_family_homelands.jpg,,629799,
307074_geojson,307074.geojson,Area of Neolithic Cultures,application/geo+json,file:/geojson.zip,307074.geojson,,0
