id,name,title,author_fn,author_ln,description,digitized,source,image,related,datasource,license,downloaded,created,contact,creator,note
323315,Africa Before the Agricultural Age (Ehret),"Proposed Early Lands of Afrasan, Middle Nile, Khoisan, and Niger-Congo Traditions",,,"Outlined on this map are the locations that Ehret hypothesizes gave rise to the Afrasan, Middle Nile, Khoisan and Niger-Congo traditions.  In his book, he describes how each area affected the development of these ancient cultures as well as some of their differences, citing examples such as the Afrasan reliance on wild grass collection for food, and Middle Nile tendency to hunt large game and fish.",,ehret2002[37],Ehret004/Ehret004.jpg,,,,,,,,
322302,African Agriculture ca. 3500 BCE (Ehret),"African Agriculture, ca. 3500 BCE",,,"This illustrates Ehret's hypothesis regarding the state of agricultural development in Africa circa 3500 B.C.E.  The main changes that Ehret points out occur within two particular groups, although all were expanding.  As the Cushitic peoples spread west, they began absorbing many former Omotic groups into their societies.  Further across the continent, the West African planting agricultural tradition continued spreading to the belt of western rainforest near the Atlantic coast.",,ehret2002[87],Ehret008/Ehret008.jpg,,,,,,,,
323798,African Agriculture ca. 5500 BCE (Ehret),African Agriculture ca. 5500 BCE,,,"This map displays the state and distribution of agricultural practices in Africa circa 5500 BCE.  The Omotic culture was slowly being absorbed by expanding Cushitic agripastoralists, while Middle Eastern pastoralists were spreading through the Arabian peninsula to parts of Asia and Europe.  The map African Agriculture ca. 3500 BCE further illustrates Ehret's historical hypothesis regarding the distribution of techniques and peoples in the northern half of the continent (Ehret).",,ehret2002[],Ehret007/Ehret007.png,,,,,,,,
323438,African Civilizations ca. 9000-6700 BCE (Ehret),"African Civilizations, 9000-6700 B.C.E.",,,"This map displays the locations of African civilizations between 9000 and 6700 B.C.E.  Despite the widespread nature of the group, Ehret has refrained from outlining the BaTwa (often known as ""pygmies"" in European languages) homeland, although it seems that their general location has remained relatively steady through to the modern age.",,ehret2002[63],Ehret006/Ehret006.jpg,,,,,,,,
322794,African Ethnic Groups (Public Content),Ethnic Groups of Africa,,,This map displays the ethnic groups of Africa as researched by the U.S. Central Intelligence Agency in 1996.  Areas with large populations of two or more major ethnic groups have been represented with one feature being superimposed over the other as represented by the Shared Areas layer.  Please note that the classification presented does not reflect current scholarly consensus.,,[Africa Ethnic Groups](https://commons.wikimedia.org/wiki/File:Africa_ethnic_groups_1996.jpg),Africa_Ethnic_Groups/Africa_ethnic_groups_1996.jpg,,"Murdock, George Peter. 1959.  <i>Africa: Its peoples and their culture history</i>. New York: McGraw-Hill.",[Public Domain](https://en.wikipedia.org/wiki/Public_domain),1996,,,,
110059,A Historical Linguistic Hypothesis for Austronesian Expansion,A Historical Linguistic Hypothesis for Austronesian Expansion,Erin A.S.,Crabb,"This map broadly outlines a series of migration paths as described by Bellwood (2006).  He states that the hypothesis best supported by current linguistic and archaeological research is that the proto-Austronesians migrated out of mainland China around 4000 BC and across the Taiwan Strait into Taiwan.  From there, they migrated south through the Philippines, resulting in the formation of the Malayo-Polynesian subgroup.  Over time, they continued to migrate further east and west, and advancements in maritime technology allowed the Austronesians to spread out across the Pacific and Indian oceans, reaching such far-flung locations as Rapa Nui (Easter Island) in the Pacific and Madagascar in the Indian (Bellwood 2006).  This hypothesis is challenged by emerging genetics research, such as Li et al. (2008).",,,,,bellwood2006[103-114],,,21 April 2011.,,,
210385,Algic (Time of Contact),Algic Languages at the Time of Contact,,,"This map shows the locations of indigenous Algic languages at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",8-June-2011,,,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.,"campbell2007
    [MultiTree: Algic: Composite](ContributionTable#cldf-multitree:Algic%3A%20Composite)",,,,,,
339251,"Amerind, Na-Dene and Eskimo-Aleut","Amerind, Na-Dene and Eskimo-Aleut",,,This map illustrates Joseph Greenberg's 1987 classification of native languages in the Americas. Greenberg (REF) hypothesizes that there are only three language families in the Americas.,January 2010,"Greenberg, Joseph H. 1987. <i>Language in the Americas</i>. Stanford: Stanford University Press. 387.
MultiTree",Greenberg/Greenberg1.png,,,,,,,,
11634,Anatolian: Languages of the Ancient World (Cambridge Encyclopedia),Languages of Anatolia at the end of the 1st Millenium BC,,,"This map is an extract of information in The Cambridge Encyclopedia of the World's Ancient languages, showing languages spoken towards the end of the 1st Millennium BC in Anatolia and the surrounding area.",,"woodard2004
haywood2001",Anatolia/anatolia.png,,,,,10 Oct 2008,,The Cambridge Encyclopedia of the World's Ancient languages. Atlas of the Celtic World,
11623,Ancient Greek Dialects (Cambridge Encyclopedia),Ancient Greek Dialects,,,"This map collects all information available on the geographic location of the dialects of Classical Greek.  It includes only areas where colonization was extensive, and does not show many smaller settlements.  Since no one map included all the regions shown here, the map is an amalgamation of material from a number of different source, of which the <i>The Cambridge Encyclopedia of the World's Ancient languages</i> is primary.",,"woodard2004
Buck, C.D.  2008. <i>The Greek Dialects</i>. Duckworth Press.
[Wikipedia](http://en.wikipedia.org/wiki/Ancient_Greek_dialects)",,,,,10 October 2008,,,,
12114,Ancient Languages of the Tarim Basin,Historical languages of the Tarim basin 400-1000 AD,,,"This map shows the range of four of the languages spoken in the Tarim basin in the later First Millennium AD. Since the languages have been so long extinct, the areas in which the languages are shown to have been spoken should be seen as only hypotheses.",,woodard2004,,,,,,June 22 2010,,The LINGUIST List (Anthony Aristar),
306830,Approximate Homelands of Language Families in East Asia,Approximate Homelands of Language Families in East Asia,,,This map should be viewed as a hypothesis rather than an accurate representation.  It displays the approximate area which was occupied by neolithic cultures and the approximate origins of large language families.  This approximate representation has been compiled by a combination of linguistic reconstruction methods and archeological information.,August 2011,bellwood2005,East_Asian_language_family_homelands/East_Asian_language_family_homelands.jpg,,,,,,,,
12210,Australia: Language Subgroups (Oates and Oates),Aboriginal Languages of Australia: Language Subgroups,,,"This map shows the aboriginal language subgroups in Australia based on the map prepared by Oates and Oates and supplemented with information from the following source: ""Languages of the World: Indo-Pacific Fascicle Six"" by Geoffrey N. O'Grady and C.F. and F.M. Voegelin.",,"Oates, William J. and Lynette F. Oates, editors. 1970. A revised linguistic survey of Australia. Australian Aboriginal Studies, 12. Canberra: Australian Institute for Aboriginal Studies. Adapted from a basic classification prepared in 1966 by G.N. O'Grady, S.A. Wurm, and K.L. Hale; drawn by R.M. Watt for the Dept. of Linguistics, Univeristy of Victoria, B.C., Canada.",OatesSubGroups/OatesSubGroups.png,"Capell, A. ""Languages of Arnhem Land, North Australia"". 1942. <u>Oceania</u>, XIII. 24-49.
O'Grady, Geoffrey N. and C.F. and F.M. Voegelin. 1966. ""Languages of the World: Indo-Pacific Fascicle Six,"" <u>Anthropological Linguistics</u>, 8:2, 1966.
Tindale, Norman B. 1940. <u>Map of Aboriginal Tribes of Australia</u>, Adelaide.
[Aboriginal Languages of Australia: Language Families (Oates and Oates)](ContributionTable#cldf:12207)
[Aboriginal Languages of Australia: Language Groups (Oates and Oates)](ContributionTable#cldf:12208)
[Aboriginal Languages of Australia: Language Locations and Tribal Groups (Dixon and Blake)](ContributionTable#cldf:11835)
[Aboriginal Languages of Australia: Languages and Dialects](ContributionTable#cldf:12206)",,Copyright Protected.,,,,,
12230,Sweden: Saami Language Areas (Selinge et al),Saami and Finnish Language Areas,,,"This map shows the distribution of Saami dialects spoken in Sweden.
Although the Saami people are only about 18,000 in number, they have four dialects. Finnish used to be spoken in a far larger area than today - mainly as a result of colonisation from Savolaks in the 16th and 17th centuries. (Selinge et al 1994)",,"Klas-Göran Selinge, Leif Wastenson, Steffan Helmfrid, Margareta Elg, Ulla Arnberg and Märta Syrén (Eds.) 1994. National Atlas of Sweden: Cultural Heritage and Preservation, Volume 11. Stockholm: Sveriges Nationalatlas Förlag.",Saami/Saami.jpg,,,,,,,,
321373,"Arabic as an Administrative and Cultural Language in Spain: The Umayyads in Spain, 950-1050,The Umayyads in Spain"," 950-1050""",,,This map illustrates the geographical extent of the Umayyad Caliphate in Spain between 950 and 1050 CE.,30-MAY-2012,freemangreenvilleandkessel1993[41],HistoricalAtlasMiddleEast/map35.png,,,,,,,,
305568,Arawán in Contemporary South America,Arawán in Contemporary South America,,,This map shows where languages in the Arawán language group were spoken ca. 2007. This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.,August 2011,,,This folder (Contemporary South American Languages) contains other maps displaying linguistic subgroups in the region. The maps may be overlaid on each other for a more complete picture.,"kaufman2007[83-93]
    [MultiTree: Arawan: Composite](ContributionTable#cldf-multitree:Austronesian%3A%20Composite)",,,,,,
337775,Atlas of Medieval Europe: Barbarian Kingdoms c. 534 CE,Atlas of Medieval Europe: Barbarian Kingdoms c. 534 CE,,,"This map depicts the barbarian kingdoms of Europe as they stood in 534 CE. This map can be viewed as a resulting snap-shot of the barbarian migrations of the previous two centuries, which the link below further elaborates.
        This original map was made by vectorizing
        data from the [MultiTree](http://multitree.org/) language database and the Atlas of the World's Languages.",June 2012,"Brown, Thomas S. 1997. Barbarian Kingdoms c. 534. <i>Atlas of Medieval Europe</i>, ed. by Angus MacKay and David Ditchburn. London and New York: Routledge.",AtlasMedievalEurope/barbarian_kingdoms.jpg,[Atlas of Medieval Europe: Barbarian Migrations in the 5th century](ContributionTable#cldf:338611),,,,,,,
343409,Atlas of Medieval Europe: Spread of the Black Death,,,,"This map depicts the spread of the Black Death in Europe during the mid-14th century. Starting from the Black and Mediterranean Seas, the plague advanced west and north across Europe. The span of years shown here is from November 1348 CE to December of 1350 CE. Areas of low plague mortality in south-western France and central Poland are also shown. The lines represent the extent of the plague's advancement at the given date. That is, the dates refer to the time the plague reached the areas indicated by the lines.
        This original map was made by vectorizing
        data from the MultiTree
        language database and the Atlas of the World's Languages.",July 2012,"MacKay, Angus (after E. Carpentier). 1997. The Spread of the Black Death. <i>Atlas of Medieval Europe</i>, ed. by Angus MacKay and David Ditchburn. London and New York: Routledge.",AtlasMedievalEurope/BLACK_DEATH.jpg,,,,,,,,
301223,Atlas of the Arctic: Ethnic Map,Atlas of the Arctic: Ethnic Map,,,"This map illustrates the placement of minorities (indigenous peoples of the region) and also newer groups, comprising at the present time a predominant part of the population. The character of the settlement of ethnic groups gives an idea about the ongoing processes of intermixing, which is an important factor in ethnic processes.""  
The map as presented in <i>Atlas of the Arctic</i> is compiled from a number of sources, including: Map of the Peoples of the USSR (MAGC, 1981); Map of Population Density (MAGC, 1979); Map of the Peoples of Europe (MAGC, 1969); Map of the World's Peoples and Population Density (MAGC, 1979); Canadian Statistical Yearbook.
Note that due to the significant discrepancy between the original map's azimuthal polar projection and LL-MAP's WGS 84/Mercator projections, some fidelity loss and major distortion is inevitable.",July 2011,"Bruk, S.I. 1985. ""Ethnic Map"". <i>Atlas of the Arctic</i>, ed. by Treshnikov, A.F., 146. Moscow: Main Administration of Geodetics and Cartography under the Council of Ministers of the USSR",Arctic_Ethnic/Arctic_Ethnic.jpg,,,,,,,,
