name,code,type,glottocode,glottolog_name
Old Lithuanian,090,language,oldl1240,
North Slavey,09k,subgroup,nort2942,
Hare,09l,subgroup,hare1244,
Coast Tsimshian,09v,subgroup,coas1300,
Southern Tsimshian,09w,subgroup,sout2962,
Patwin,09x,subgroup,patw1250,
Tulua,0g3,subgroup,gure1255,
Piria,0g4,language,pirr1240,
Ilba,0g5,subgroup,,
Gia,0g6,subgroup,,
Moothaburra,0g7,subgroup,,
Wadjalong,0g8,subgroup,,
Jimun,0g9,subgroup,,
Minkin,0gj,subgroup,,
Theddora,0gm,subgroup,,
MpalitYan̯,0gr,subgroup,,
Ngkoth,0gt,subgroup,,
Jinwun,0gu,language,,
Aritinngithigh,0gv,language,,
Angutimi,0gw,subgroup,,
Nrwaʔa,0gw-nrw,dialect,,
Mbeiwum,0gx,subgroup,,
Tarkalag,0gz,subgroup,,
Ulaolinya,0h0,subgroup,,
Maljangaba,0h1,subgroup,,
Karawali,0h3,subgroup,,
Kairi,0h5,subgroup,,
Gabi,0ha,language,,
Badjela,0ha-bad,dialect,,
Jagara,0he,subgroup,,
Guwar,0hf,language,,
Burragorang,0hg,subgroup,,
Ngarigo,0hh,subgroup,,
Walgalu,0hh-wol,dialect,,
Darkinjung,0hk,language,,
Eo-ra,0hl,subgroup,,
Yorta Yorta,0hm,subgroup,,
Yabula Yabula,0hn,language,,
Wambo Wambo,0ho,subgroup,,
Karraba,0ho-bar,dialect,,
Nari Nari,0hp,language,,
Wathaurung,0hq,language,,
Coligan,0hr,subgroup,,
Kirawirung,0hs,subgroup,,
Bungandaetch,0ht,language,,
Kuurnkopannoot,0hu,subgroup,,
Kirawirung,0hu-kir,dialect,,
Ngaiawong,0hv,subgroup,,
Yerraruck,0hw,subgroup,,
Yerraruck,0hw-era,dialect,,
Ngawaijung,0hw-nga,dialect,,
Ngintait,0hw-ngi,dialect,,
Merkani,0hw-ngr,dialect,,
Kerinma,0hx,subgroup,,
Munumburu,0ik,subgroup,,
Otomí,0n0,subgroup,,
Northern Misteko,0n1,subgroup,,
Centreal Mixteco,0n2,subgroup,,
Southern Misteko,0n3,subgroup,,
Choco Proper,0ny,subgroup,,
Mailnga,0p7,subgroup,,
Mirning-Ngadjunma-Kalarko,0ql,subgroup,,
Koara,0s1,subgroup,,
Ngurlu,0s5,subgroup,,
Tjalkatjarra,0s7,subgroup,,
Mandjinjiwonga,0s9,subgroup,,
Kardutjara-YulapaRitʸa,0sc,subgroup,,
Inawonga,0sl,subgroup,,
Wirdinya,0sm,subgroup,,
Tjitiyamba,0st,subgroup,,
Ngaiuwonga,0su,subgroup,,
Tjeraridjal,0ta,subgroup,,
Moorooon,0tb,subgroup,,
Ngaliya,0tc,subgroup,,
Jadliaura,0ty,language,,
Ngulangulandji,0u7,subgroup,,
Wadikali,0u8,language,,
Marulta,0u9,subgroup,,
Ayerreyenge,0ug,subgroup,,
Janda,0uq,subgroup,,
Kungaditji,0uu,subgroup,,
Moorloobullo,0uw,subgroup,,
Rukkia,0ux,subgroup,,
Ringu-Ringu,0uy,subgroup,,
Mayawarli,0uz,subgroup,,
Ngunnhalgri,0va,language,,
Wanywalgu,0vb,subgroup,,
Ngaraltu,0vc,subgroup,,
Peramangk,0vd,subgroup,,
Nganguruku,0ve,subgroup,,
Wotjobaluk,0vf,subgroup,,
Yaran,0vf-bed,dialect,,
Painbali,0vf-dja,dialect,,
Wotjobaluk,0vf-wot,dialect,,
Yarreyarre,0vp,subgroup,,
Ladji-Ladji,0vx,language,,
Madhi Madhi,0vy,language,,
Wudjawuru,0w0,language,,
Jitajita,0wd,subgroup,,
Jardwadjali,0wr,language,,
Mardidjali,0wr-mar,dialect,,
Djakunda,0x0,subgroup,,
Daribalang,0x1,subgroup,,
Baranbinja,0x2,subgroup,,
Murrungama,0x8,subgroup,,
Woiwurrung,0xf,language,,
Bunurong,0xf-bun,dialect,,
Thagungwurrung,0xf-tng,dialect,,
Tyapwurru,0xn,language,,
Kurung,0xo,subgroup,,
Gunnai,0xp,language,,
Brabirra-wulung,0xp-brb,dialect,,
Braiakaulung,0xp-bri,dialect,,
arrawarracka,0xp-brt,dialect,,
Krauatungulung,0xp-kra,dialect,,
Tatungalung,0xp-tat,dialect,,
Bidhawal,0xq,language,,
Janday ,0xs,language,,
Ngamba,0xt,subgroup,,
Ngaku,0xu,subgroup,,
Kambuwal,0xv,subgroup,,
Moondjan,0xx,language,,
Keinjan,0xy,subgroup,,
Jagara,0xz,language,,
Wakelbara,0y1,subgroup,,
Barna,0y2,subgroup,,
Nguro,0y3,subgroup,,
Miyan,0y4,subgroup,,
Pikambal,0ya,subgroup,,
Wangan,0yz,subgroup,,
Charumbul,0zc,subgroup,,
Juru,0zm,subgroup,,
Bindal,0zn,subgroup,,
"""Ndorobo""",aam,subgroup,aram1252,Aramanik
Abé,aba,language,abee1242,Abé
Abo,abb,subgroup,bank1256,Bankon
Western Abenaki,abe,language,west2630,Western Abenaki
Abkhaz,abk,language,abkh1244,Abkhaz
Abzhui,abk-abz,dialect,abkh1244,
Bzyb,abk-bzy,dialect,bzyb1238,
Samurzakan,abk-sam,dialect,samu1242,
Abenakian,abnk,subgroup,aben1250,
Tapanta,abq,subgroup,abaz1241,Abaza
Ashkar,abq-ash,dialect,ashk1247,
Tapanta,abq-tap,dialect,tapa1256,
Abron,abr,language,abro1238,Abron
Achoma'wi,acv,subgroup,achu1247,Achumawi
"Arabic, Hijazi Spoken",acw,language,hija1235,Hijazi Arabic
Adamawa,adam,subgroup,adam1253,
Andegerebinha,adg,language,ande1247,Andegerebinha
Adnyamathanha,adt,language,adny1235,Adnyamathanha
Adyghe,ady,language,adyg1241,Adyghe
Abadzex,ady-aba,dialect,abad1240,
Bzedux,ady-bez,dialect,bezh1247,
Natukhai,ady-nat,dialect,natu1243,
Shapsug,ady-sha,dialect,shap1240,
Xakuchi,ady-xak,dialect,xaku1238,
"Arrernte, Eastern",aer,language,east2379,Eastern Arrernte
Afro-Asiatic,afas,subgroup,afro1255,
Afrikaans,afr,subgroup,afri1274,Afrikaans
Semitic,afsm,subgroup,semi1276,
Aguacatec,agu,subgroup,agua1252,Aguacateco
Aghulshuy,agx,subgroup,aghu1253,Aghul
Kimanteney,ahg,subgroup,qima1242,Qimant
Ah-tena,aht,subgroup,ahte1237,Ahtena
Ahtna,ahtn,subgroup,ahte1237,
Alngith,aid,language,alng1239,Alngith
Ainu,ain,language,ainu1240,Hokkaido Ainu
Ari-Galila,aiw,language,aari1239,Aari
Arabic (Negev),ajp,subgroup,sout3123,South Levantine Arabic
"Arabic, Judeo-Moroccan",aju,subgroup,jude1265,Judeo-Moroccan Arabic
Akan,akan,subgroup,akan1250,
Akasele,aks,subgroup,akas1242,Akaselem
Alabama,akz,subgroup,alab1237,Alabama
Aleut,ale,language,aleu1260,Aleut
Aleut,aleu,subgroup,aleu1260,
Algic,algi,subgroup,algi1248,
